shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII BTLG    CI;2024-07-18T14:14:59,000Z;101,74;101,75;101,33;18929;BTLG11;None
FII VBI LOG CI;2024-07-18T14:16:00,000Z;116,14;116,69;115,85;4680;LVBI11;None
FII VINCI LGCI;2024-07-18T14:16:03,000Z;91,38;91,52;91,22;1715;VILG11;None
FII XP LOG  CI;2024-07-18T14:14:09,000Z;103,51;103,89;103,34;7872;XPLG11;None
FII HEDGEBS CI;2024-07-18T14:15:57,000Z;218,53;220,2;218,48;2376;HGBS11;None
FII VINCI SCCI;2024-07-18T14:14:59,000Z;114,8;114,8;113,97;7144;VISC11;None
FII XP MALLSCI;2024-07-18T14:16:07,000Z;113,53;113,9;113,13;30421;XPML11;None
FII TRX REALCI;2024-07-18T14:16:06,000Z;107,97;108,25;107,91;10880;TRXF11;None
BRASIL      ON      NM;2024-07-18T14:12:39,000Z;27,35;27,63;27,31;2144300;BBAS3;4,0604768
BTGP BANCO  UNT EJ  N2;2024-07-18T14:14:23,000Z;32,16;32,49;32,1;650700;BPAC11;None
ELETROBRAS  ON      N1;2024-07-18T14:15:26,000Z;38,29;38,77;38,19;1376100;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-18T14:16:08,000Z;25,5;25,87;25,36;931400;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-18T14:12:03,000Z;42,3;42,92;42,27;42600;ORVR3;1,3348965
COSAN       ON      NM;2024-07-18T14:12:54,000Z;14,12;14,33;14,06;1686100;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-18T14:14:37,000Z;10,26;10,38;10,26;2402700;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-18T14:14:45,000Z;21,47;21,6;21,46;380700;KLBN11;None
COPASA      ON      NM;2024-07-18T14:14:01,000Z;20,43;20,67;20,4;161700;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-18T14:16:07,000Z;26,72;27,09;26,56;201400;SAPR11;None
PORTO SEGUROON      NM;2024-07-18T14:16:11,000Z;30,94;31;30,67;370600;PSSA3;4,0028974
TIM         ON      NM;2024-07-18T14:16:11,000Z;16,94;17,02;16,85;477900;TIMS3;1,1721633
TELEF BRASILON;2024-07-18T14:16:07,000Z;49,76;50,1;49,64;216300;VIVT3;3,072659
FII RIZA TX CI;2024-07-19T14:12:53,000Z;94,48;94,5;94,03;1133;RZTR11;None
FIAGRO XP CACI;2024-07-19T14:14:44,000Z;8,18;8,22;8,14;12086;XPCA11;None
FII BEES CRICI;2024-07-19T14:13:09,000Z;67,28;67,3;67,14;262;BCRI11;None
FII XP CRED CI;2024-07-19T14:12:33,000Z;87,52;87,66;87,35;167;XPCI11;None
FII MERITO ICI;2024-07-19T14:11:26,000Z;101,28;101,45;101,11;227;MFII11;None
FII TG ATIVOCI;2024-07-19T14:15:44,000Z;119,99;120,36;119,89;1995;TGAR11;None
FII BC FUND CI  ER;2024-07-19T14:15:52,000Z;50,97;51,4;50,9;1804;BRCR11;None
