shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII HEDGEBS CI  ES;2024-12-03T15:04:45,000Z;186,7;188,62;186,24;6827;HGBS11;None
FII VINCI SCCI;2024-12-03T15:04:53,000Z;95,36;97,53;95,32;61770;VISC11;None
FII XP MALLSCI;2024-12-03T15:05:01,000Z;97,59;98,73;97,06;79618;XPML11;None
FII TRX REALCI;2024-12-03T15:05:17,000Z;99,68;100,49;99,68;17061;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-03T15:02:18,000Z;24,85;24,89;24,65;4767100;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-03T15:02:30,000Z;30,27;30,6;30;3693200;BPAC11;None
ISA ENERGIA PN      N1;2024-12-03T15:06:13,000Z;24,02;24,16;23,94;379700;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-03T15:06:20,000Z;41,06;41,55;40,84;172400;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-03T15:03:58,000Z;9,12;9,24;9,11;6052600;ITSA4;1,3595191
COPASA      ON      NM;2024-12-03T15:04:05,000Z;25,04;25,39;24,91;274800;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-03T15:04:54,000Z;38,43;38,62;37,88;735800;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-02T16:41:20,000Z;3,7;3,73;3,65;318000;FIQE3;0,4900955
TIM         ON      NM;2024-12-03T15:06:24,000Z;15,62;15,96;15,61;2743000;TIMS3;1,3174606
TELEF BRASILON;2024-12-03T15:03:52,000Z;50,91;50,99;49,52;756100;VIVT3;3,2658407
PETZ        ON      NM;2024-12-03T15:06:02,000Z;4,41;4,5;4,37;1331900;PETZ3;0,0119488
SABESP      ON      NM;2024-12-02T16:45:01,000Z;92,4;92,94;91,33;1584900;SBSP3;13,6514839
FII RIZA TX CI;2024-12-04T14:14:59,000Z;86,49;87,1;86,3;9922;RZTR11;None
FII HGCR PAXCI;2024-12-03T15:04:24,000Z;94,39;94,82;94;18379;HGCR11;None
FII XP CRED CI;2024-12-04T14:15:23,000Z;74,56;75,32;74,53;3057;XPCI11;None
FII MERITO ICI;2024-12-04T14:14:52,000Z;89,01;90,94;88,52;5290;MFII11;None
FII TG ATIVOCI;2024-12-04T14:15:15,000Z;93,28;94,79;92,57;19154;TGAR11;None
FII BC FUND CI;2024-12-04T14:15:04,000Z;41,88;42;41,85;5352;BRCR11;None
FII XP SELECCI;2024-12-04T14:15:30,000Z;6,26;6,28;6,23;8239;XPSF11;None
FII BTLG    CI;2024-12-04T14:15:07,000Z;90,72;91,71;90,5;31966;BTLG11;None
FII VBI LOG CI;2024-12-04T14:15:32,000Z;93,34;93,8;93,05;6059;LVBI11;None
FII VINCI LGCI;2024-12-04T14:15:32,000Z;74,22;74,85;74,01;27211;VILG11;None
FII XP LOG  CI;2024-12-04T14:15:07,000Z;88,94;89,97;88,76;13446;XPLG11;None
FII HEDGEBS CI  ES;2024-12-04T14:15:12,000Z;185,31;186,9;185,06;4202;HGBS11;None
FII VINCI SCCI;2024-12-04T14:11:02,000Z;90,55;93,45;90,35;29302;VISC11;None
FII XP MALLSCI;2024-12-04T14:15:02,000Z;96,41;97,82;96,01;44371;XPML11;None
FII TRX REALCI;2024-12-04T14:15:01,000Z;99,32;99,63;99,29;9948;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-04T14:15:00,000Z;25,16;25,24;24,8;3710400;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-04T14:15:11,000Z;30,26;30,32;29,92;1658000;BPAC11;None
ISA ENERGIA PN      N1;2024-12-03T15:06:13,000Z;24,02;24,16;23,94;379700;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-04T14:15:04,000Z;41,1;41,25;40,52;43400;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-04T14:15:02,000Z;9,21;9,24;9,16;1647300;ITSA4;1,3595191
COPASA      ON      NM;2024-12-04T14:11:05,000Z;25,19;25,41;25,16;71400;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-04T14:15:04,000Z;39,28;39,42;39,06;360000;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-03T15:06:32,000Z;3,64;3,71;3,64;159000;FIQE3;0,4900955
TIM         ON      NM;2024-12-04T14:16:01,000Z;15,82;15,92;15,65;474800;TIMS3;1,3174606
TELEF BRASILON;2024-12-04T14:11:07,000Z;51,14;51,21;50,86;136500;VIVT3;3,2658407
PETZ        ON      NM;2024-12-04T14:11:28,000Z;4,24;4,31;4,22;947900;PETZ3;0,0119488
SABESP      ON      NM;2024-12-04T14:14:53,000Z;92,41;93,5;92,23;467900;SBSP3;13,6514839
FII RIZA TX CI;2024-12-05T16:05:32,000Z;85;86;84,91;33006;RZTR11;None
FII HGCR PAXCI;2024-12-05T16:04:55,000Z;91,56;92,3;91,5;19117;HGCR11;None
FII XP CRED CI;2024-12-05T16:05:05,000Z;70,93;72,42;70,72;18134;XPCI11;None
FII MERITO ICI;2024-12-05T16:04:33,000Z;88,55;89,24;88,2;7369;MFII11;None
FII TG ATIVOCI;2024-12-05T16:05:22,000Z;88,54;90,64;88,36;64952;TGAR11;None
FII BC FUND CI;2024-12-05T16:04:59,000Z;41,32;41,51;41,17;17923;BRCR11;None
FII XP SELECCI;2024-12-05T16:05:31,000Z;6,13;6,17;6,08;37723;XPSF11;None
FII BTLG    CI;2024-12-05T16:05:01,000Z;89,85;90,35;89;61932;BTLG11;None
FII VBI LOG CI;2024-12-05T16:05:10,000Z;91,77;93,46;91,32;13370;LVBI11;None
FII VINCI LGCI;2024-12-05T16:05:22,000Z;70,33;72,86;70,1;32946;VILG11;None
FII XP LOG  CI;2024-12-05T16:05:02,000Z;87,65;88,84;87,65;29698;XPLG11;None
FII HEDGEBS CI  ES;2024-12-05T16:05:06,000Z;180,51;184,95;180;9285;HGBS11;None
FII VINCI SCCI;2024-12-05T16:05:28,000Z;88,66;90,97;88,6;50346;VISC11;None
